ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,IsHoliday,IsHoliday_lower,IsHoliday_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2015-01-03,269.9467378146,-1834.698895060276,3605.3651968708323,269.9467378146,269.9467378146,0.0,0.0,0.0,733.5275541303175,733.5275541303175,733.5275541303175,1014.062206564,1014.062206564,1014.062206564,0.0,0.0,0.0,359.0349577766607,359.0349577766607,359.0349577766607,-639.5696102103432,-639.5696102103432,-639.5696102103432,0.0,0.0,0.0,1003.4742919449175
2015-01-04,270.227679584309,-1900.409512110289,3660.2516209072496,270.227679584309,270.227679584309,0.0,0.0,0.0,482.1797642670133,482.1797642670133,482.1797642670133,1014.062206564,1014.062206564,1014.062206564,0.0,0.0,0.0,121.70305159532796,121.70305159532796,121.70305159532796,-653.5854938923146,-653.5854938923146,-653.5854938923146,0.0,0.0,0.0,752.4074438513223
2015-01-05,270.508621354018,-2037.1032291487961,3649.4804154432454,270.508621354018,270.508621354018,0.0,0.0,0.0,371.6182298118251,371.6182298118251,371.6182298118251,1014.062206564,1014.062206564,1014.062206564,0.0,0.0,0.0,23.89805308666243,23.89805308666243,23.89805308666243,-666.3420298388373,-666.3420298388373,-666.3420298388373,0.0,0.0,0.0,642.126851165843
2015-01-06,270.78956312372696,-1882.5570373684898,3651.314630616697,270.78956312372696,270.78956312372696,0.0,0.0,0.0,702.7096803784985,702.7096803784985,702.7096803784985,1014.062206564,1014.062206564,1014.062206564,0.0,0.0,0.0,365.9387870659628,365.9387870659628,365.9387870659628,-677.2913132514643,-677.2913132514643,-677.2913132514643,0.0,0.0,0.0,973.4992435022255
2015-01-07,271.07050489343595,-2253.7378248494992,3379.1131645380274,271.07050489343595,271.07050489343595,0.0,0.0,0.0,225.32190507472887,225.32190507472887,225.32190507472887,1014.062206564,1014.062206564,1014.062206564,0.0,0.0,0.0,-102.83526113733505,-102.83526113733505,-102.83526113733505,-685.9050403519361,-685.9050403519361,-685.9050403519361,0.0,0.0,0.0,496.3924099681648
2015-01-09,271.63238843285393,-2219.713170529072,3213.8999879665785,271.63238843285393,271.63238843285393,0.0,0.0,0.0,237.86528708528837,237.86528708528837,237.86528708528837,1014.062206564,1014.062206564,1014.062206564,0.0,0.0,0.0,-81.96326256927617,-81.96326256927617,-81.96326256927617,-694.2336569094356,-694.2336569094356,-694.2336569094356,0.0,0.0,0.0,509.4976755181423
2015-01-10,271.9133302025629,-1784.6545180012963,3702.388673447306,271.9133302025629,271.9133302025629,0.0,0.0,0.0,679.9265515979822,679.9265515979822,679.9265515979822,1014.062206564,1014.062206564,1014.062206564,0.0,0.0,0.0,359.03495777666484,359.03495777666484,359.03495777666484,-693.1706127426827,-693.1706127426827,-693.1706127426827,0.0,0.0,0.0,951.8398818005451
2015-01-11,272.1942719722719,-2005.6500131878777,3463.790248218552,272.1942719722719,272.1942719722719,0.0,0.0,0.0,447.5148533571747,447.5148533571747,447.5148533571747,1014.062206564,1014.062206564,1014.062206564,0.0,0.0,0.0,121.7030515950055,121.7030515950055,121.7030515950055,-688.2504048018309,-688.2504048018309,-688.2504048018309,0.0,0.0,0.0,719.7091253294466
2015-01-13,272.7561555116899,-1936.2610851702386,3615.7390387513447,272.7561555116899,272.7561555116899,0.0,0.0,0.0,713.6360746575901,713.6360746575901,713.6360746575901,1014.062206564,1014.062206564,1014.062206564,0.0,0.0,0.0,365.93878706590596,365.93878706590596,365.93878706590596,-666.3649189723159,-666.3649189723159,-666.3649189723159,0.0,0.0,0.0,986.3922301692801
2015-01-14,273.03709728139887,-2208.888315685308,3259.3344915564003,273.03709728139887,273.03709728139887,0.0,0.0,0.0,261.7618121759023,261.7618121759023,261.7618121759023,1014.062206564,1014.062206564,1014.062206564,0.0,0.0,0.0,-102.8352611375672,-102.8352611375672,-102.8352611375672,-649.4651332505305,-649.4651332505305,-649.4651332505305,0.0,0.0,0.0,534.7989094573012
2015-01-15,273.3180390511079,-2703.1051139920205,2831.1016911790634,273.3180390511079,273.3180390511079,0.0,0.0,0.0,-300.5635753902601,-300.5635753902601,-300.5635753902601,1014.062206564,1014.062206564,1014.062206564,0.0,0.0,0.0,-685.7763258183207,-685.7763258183207,-685.7763258183207,-628.8494561359395,-628.8494561359395,-628.8494561359395,0.0,0.0,0.0,-27.24553633915218
